155575	251	165	3	7	1107	127	1152	0.3571428571428571	
173955	147	160	0	11	997	101	1333	0.4545454545454546	
168368	151	114	3	8	915	146	1276	0.375	
167889	157	149	3	10	871	111	1374	0.4	
170728	385	155	4	9	1221	90	1213	0.38888888888888884	
172376	201	127	2	7	1100	199	1095	0.25	
159679	184	162	2	9	1095	119	1242	0.33333333333333337	
169483	155	155	3	10	841	117	1424	0.44999999999999996	
160281	196	121	3	8	960	125	1311	0.46875	
173068	199	160	2	9	1102	137	1245	0.4722222222222222	
159284	362	132	5	6	1201	129	1239	0.33333333333333337	
164346	157	149	4	9	879	107	1358	0.33333333333333337	
161687	169	122	3	8	1031	132	1113	0.28125	
174770	164	150	2	12	980	115	1273	0.45833333333333337	
171728	155	143	2	11	958	91	1370	0.4545454545454546	
172625	192	149	1	9	912	123	1431	0.41666666666666663	
