[161871.0, 167.0, 132.0, 2.0, 7.0, 937.0, 166.0, 1217.0, 0.3571428571428571]
[181231.0, 166.0, 157.0, 0.0, 13.0, 932.0, 127.0, 1377.0, 0.5192307692307692]
[163874.0, 194.0, 90.0, 3.0, 6.0, 1124.0, 148.0, 1152.0, 0.20833333333333337]
[154433.0, 265.0, 121.0, 2.0, 7.0, 1084.0, 159.0, 1299.0, 0.3571428571428571]
[172285.0, 189.0, 118.0, 0.0, 10.0, 1093.0, 125.0, 1283.0, 0.35]
[161912.0, 202.0, 159.0, 2.0, 8.0, 934.0, 128.0, 1380.0, 0.4375]
[171269.0, 214.0, 143.0, 1.0, 8.0, 990.0, 94.0, 1410.0, 0.34375]
[159467.0, 159.0, 141.0, 3.0, 6.0, 969.0, 123.0, 1299.0, 0.33333333333333337]
[158284.0, 163.0, 143.0, 2.0, 7.0, 949.0, 176.0, 1290.0, 0.3214285714285714]
[172379.0, 144.0, 157.0, 1.0, 9.0, 856.0, 145.0, 1351.0, 0.5277777777777778]
[159335.0, 291.0, 104.0, 3.0, 7.0, 1083.0, 148.0, 1176.0, 0.25]
[149904.0, 395.0, 97.0, 2.0, 5.0, 1263.0, 161.0, 1167.0, 0.30000000000000004]
[159774.0, 153.0, 141.0, 3.0, 6.0, 947.0, 123.0, 1307.0, 0.33333333333333337]
